# Global Fire Emissions Database version 4.1 including small fire burned area (GFED4s)  
# Estimates for 2017 onwards based on relations between active fires and emissions  
# Estimates for 2018 for January - September 21, will be updated with ~1 month latency  
# CH2O emissions estimates in 1E9 g CH2O for the globe, different regions, and different fire types 

All fire types combined: 

                                                                               Year                                                                 (Beta) (Beta)  '97-'17  
Region   1997   1998   1999   2000   2001   2002   2003   2004   2005   2006   2007   2008   2009   2010   2011   2012   2013   2014   2015   2016   2017   2018 |    Mean 
BONA      105    352    145     82     48    326    201    386    262    189    145    117    156    278    186    189    376    432    498    143    312    169 |     235 
TENA       35     42     70     64     37     57     55     41     45     62     97     71     46     55     61     83     55     62    109     64    105     62 |      63 
CEAM       57    509     66    150     41     56    181     44    140     78     88     75     88     51    120     43    109     38     61     72     86     60 |     103 
NHSA       77    110     55     72     82     42    144     63     47     39     92     49     54     68     23     36     41     66     63    123     41     58 |      67 
SHSA      786   1116   1003    472    381    744    626    971   1234    557   1460    470    252   1520    374    720    343    508    706    658    680    184 |     742 
EURO       26     27     21     66     41     17     30     25     25     26     30     30     18     17     26     39     17     17     12     17     31      6 |      27 
MIDE        3      8      5      4      4      4      5      5      5      5      7      4      8      8      7      6      6      6      9      6      6      2 |       6 
NHAF      871   1190    934   1023    838    884    774    733    928    740    807    790    689    640    734    655    685    646    691    831    693    406 |     799 
SHAF      998   1171    991    944   1323   1110   1138   1154   1215   1142   1042   1142   1134   1230   1163   1060   1168   1063   1080   1084   1092    764 |    1117 
BOAS      376   1116    399    435    393    637   1094    174    261    526    234    712    263    353    404    837    323    513    413    579    305    535 |     493 
TEAS      288    266    180    160    207    233    179    215    207    227    238    292    252    178    147    158    131    225    252    125    184     99 |     207 
SEAS      199    440    367    256    149    175    206    423    314    243    422    175    315    391    213    305    314    378    308    306    204    199 |     291 
EQAS     3154    344    252     99     99    759    198    511    236   1028     84     65    560     48    226    227    175    613   1132     72     61     73 |     474 
AUST      211    186    331    219    318    317    320    207    122    279    191    116    211     74    265    274    159    201    168    120    169    105 |     213 
Global   7192   6885   4825   4053   3972   5370   5160   4961   5049   5149   4943   4122   4053   4918   3959   4640   3909   4777   5510   4210   3977   2728 |    4840 


Savanna, grassland, and shrubland fires: 

BONA        0      1      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
TENA        6      7      9     13      5     10      7      6      9     11     11      9      7      6     11     11      6      7     11     10     10     12 |       9 
CEAM       17     96     19     44     13     17     38     10     36     19     21     21     21     17     32     14     24     13     15     18     22     17 |      26 
NHSA       37     49     31     41     39     28     49     38     28     25     41     29     32     30     17     21     23     36     32     41     25     29 |      34 
SHSA      300    311    302    129    194    278    203    250    265    148    343    154     93    343    120    232    117    145    177    172    202     58 |     214 
EURO        3      5      2      8      2      1      5      2      5      2      5      1      1      2      2      4      2      0      1      3      5      0 |       3 
MIDE        0      1      0      1      0      0      0      0      0      0      1      0      0      1      0      1      0      0      1      0      1      0 |       1 
NHAF      662    818    694    715    631    661    618    560    669    529    582    605    530    477    543    493    527    495    493    585    521    296 |     591 
SHAF      887   1040    889    826   1051    863    936    918    964    904    889    936    939   1004    978    895    951    878    872    866    905    617 |     924 
BOAS        4      4      3      3      3      1      5      6      3      9      1      7      3      3      2      2      1      2      2      1      1      1 |       4 
TEAS       38     33     20     20     22     47     28     33     33     35     26     23     19     33     20     22     11     27     30     15     30     11 |      27 
SEAS       78    146    107     91     66     72     84    138    110     85    127     70     91    102     61     86     68     93     83     74     65     62 |      91 
EQAS      149     39     20      8     11     49     20     39     14     43     15     13     22     12     14     13     12     24     44      9      7      6 |      28 
AUST      124    118    258    165    243    196    101    176     94    151    139     96    137     57    234    236     90    146    126     84    133     80 |     148 
Global   2312   2676   2362   2070   2288   2229   2100   2182   2236   1968   2207   1971   1902   2092   2042   2036   1837   1873   1894   1884   1934   1196 |    2100 


Boreal forest fires: 

BONA       73    296    122     63     29    297    171    368    242    170    132    106    137    246    172    164    349    383    456    122    267    141 |     208 
TENA        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
CEAM        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
NHSA        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
SHSA        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
EURO        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
MIDE        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
NHAF        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
SHAF        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
BOAS      263    949    303    351    310    549    952     97    181    348    160    529    183    206    331    761    295    398    337    524    258    485 |     395 
TEAS       59     47     20     33     11     43     49     19      7     36     47     35     40      8     12     33      4      8     32      5     18      8 |      27 
SEAS        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
EQAS        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
AUST        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
Global    397   1293    446    448    350    891   1172    485    430    554    340    676    361    460    515    959    649    790    826    652    544    636 |     631 


Temperate forest fires: 

BONA       23     26     12      4     12      9     14      3      5     10      4      3      9     19      4      6      4     15     12      9     30     22 |      12 
TENA       17     22     46     38     19     40     31     15     19     36     66     45     20     15     31     59     38     42     75     37     77     39 |      38 
CEAM        1     11      5      4      0      1      1      0      1      4      3      7      0      2      4      4      2      0      0      2      3      3 |       3 
NHSA        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
SHSA       32     27     38     26     18     24     28     26     18     16     22     19     21     22     19     20     21     16     18     17     23      8 |      23 
EURO        5      5      4      6      2      3      7      2      4      4      4      3      2      1      4      7      2      2      2      2      7      1 |       4 
MIDE        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
